photos;name;price;enabled;amount;currency;producer;properties;description;category;sku;briefdescription
"http://www.breezart.ru/export/photo/550_lux_sb.png?1658127164; http://www.breezart.ru/export/photo/breezart_jlv135.png?1658127164; https://v-conn.ru/export/struct/lux_ac.png?1658127164; https://v-conn.ru/export/ventchar/400_lux_ac_vent.png?1658127164; https://v-conn.ru/export/draw/400_lux_ac.png?1658127164; ";Приточная установка Breezart 400 Lux AC;187 600 ;+;1;RUB;Breezart;"Тип нагревателя: электрический с изменяемой мощностью; Код нагревателя: 1,8 кВт-220В | 3,6 кВт-220В | 5,4 кВт-220В | 5,4 кВт-380В; Максимальная потребляемая мощность: 1,8 кВт-220В | 3,6 кВт-220В | 5,4 кВт-220В | 5,4 кВт-380В; Максимальный потребляемый ток: 8,8 | 17,0 | 25,2 | 8,8 А; Напряжение питания: 220 В / 380 В; Уровень шума LwA на всасывании | на выпуске | от корпуса: 53 дБА | 61 дБА | 46 дБА; Уровень звукового давления LpA от корпуса: 35 дБА; Масса: 25 кг; Код воздушного фильтра: ФВГ-410-170-48-G4; ";"


Универсальная модель для коттеджей, офисов и квартир:  Встроенная цифровая автоматика и сенсорный пульт управления. Настраиваемая мощность нагревателя от 1,8 до 5,4 кВт (позволяет ограничить пиковую нагрузку на электросеть). Автонастройка напряжения питания 220 или 380 В. Все настройки выполняются с пульта управления.  Приточная установка комплектуется керамическим нагревателем с низкой температурой поверхности, воздушным клапаном с электроприводом, системой цифровой автоматики JetLogic с цветным сенсорным пультом управления и датчиками, а также кронштейнами с вибровставками для размещения вентустановки на потолке или стене. На входе вентустановки можно установить два фильтра: после стандартного фильтра грубой очистки G4 есть дополнительные салазки для установки компактного фильтра тонкой очистки F7 или угольного (Carb). Вместо дополнительного компактного фильтра можно установить на выходе вентустановки дополнительный фильтр с высокой пылеемкостью в отдельном корпусе Filter-Case-500 (угольный + тонкой очистки F7).

 
  <ul>
<li>Программное изменение мощности калорифера, автоопредление 220В / 380В. </li>
<li>Плавная регулировка мощности калорифера для нагрева воздуха  до заданной температуры, защита от перегрева.</li>
<li>Регулировка скорости вентилятора, 10 ступеней.</li>
<li>Возможность управления увлажнителем воздуха с пульта вентустановки.</li>
<li>Контроль загрязненности воздушного фильтра (цифровой датчик давления).</li>
<li>Восемь недельных сценариев, функции «Комфорт» и «Рестарт».</li>
<li>Часы реального времени (не сбрасываются при сбое питания).</li>
<li>Возможность создания VAV-системы (требуется модуль JL208DP).</li>
<li>Подключение к системе «умный дом» по ModBus RTU или ModBus TCP.</li>
<li>Удаленное управление с компьютера или смартфона / планшета.</li>
</ul> 
 ";[Главная >> Вентиляция >> Вентиляционные установки >> Приточные установки >> Breezart];1722654;"Тип: Приточная установка   ; <br><tbody><tr><th><p><span>Производительность:</span></p></th><td>400 м³/ч</td></tr> <tr><th><p><span>Мощность нагревателя:</span></p></th><td>1,8 кВт-220В | 3,6 кВт-220В | 5,4 кВт-220В | 5,4 кВт-380В</td></tr>                      </tbody>"
"http://www.breezart.ru/export/photo/550_aqua.png?1658127173; http://www.breezart.ru/export/photo/breezart_jlv135.png?1658127173; https://v-conn.ru/export/struct/aqua.png?1658127173; https://v-conn.ru/export/ventchar/550_aqua_vent.png?1658127173; https://v-conn.ru/export/draw/550_aqua.png?1658127173; ";Приточная установка Breezart 550 Aqua;300 700 ;+;1;RUB;Breezart;"Тип нагревателя: водяной; Код нагревателя: W31 со смесит. узлом S3-20-4-1,6 | S2-20-4-0,63; Максимальная потребляемая мощность: 0,1 кВт-220В; Максимальный потребляемый ток: 0,7 А; Напряжение питания: 220 В; Уровень шума LwA на всасывании | на выпуске | от корпуса: 56 дБА | 64 дБА | 49 дБА; Уровень звукового давления LpA от корпуса: 35 дБА; Масса: 34 кг; Код воздушного фильтра: ФВГ-410-170-48-G4; ";"


Приточная установка с водяным нагревателем и смесительным узлом с 2-х или 3-х ходовым клапаном (узел подбирается исходя из типа водоснабжения), комплектуется воздушным клапаном с электроприводом (с возвратной пружиной) и системой цифровой автоматики JetLogic с цветным сенсорным пультом управления и всеми необходимыми датчиками.

 
  <ul>
<li>Управление клапаном смесительного узла калорифера для нагрева воздуха  до заданной температуры, защита от замораживания.</li>
<li>Регулировка скорости вентилятора, 10 ступеней.</li>
<li>Возможность управления увлажнителем воздуха с пульта вентустановки.</li>
<li>Контроль загрязненности воздушного фильтра (цифровой датчик давления).</li>
<li>Восемь недельных сценариев, функции «Комфорт» и «Рестарт».</li>
<li>Часы реального времени (не сбрасываются при сбое питания).</li>
<li>Возможность создания VAV-системы (требуется модуль JL208DP).</li>
<li>Подключение к системе «умный дом» по ModBus RTU или ModBus TCP.</li>
<li>Удаленное управление с компьютера или смартфона / планшета.</li>
</ul> 
 ";[Главная >> Вентиляция >> Вентиляционные установки >> Приточные установки >> Breezart];1722679;"Тип: Приточная установка   ; <br><tbody><tr><th><p><span>Производительность:</span></p></th><td>550 м³/ч</td></tr>                       </tbody>"
"http://www.breezart.ru/img/stock/550_lux_sb_250.png; http://www.breezart.ru/export/photo/550_lux.png?1658127164; http://www.breezart.ru/export/photo/breezart_jlv135.png?1658127164; https://v-conn.ru/export/struct/1000_lux.png?1658127164; https://v-conn.ru/export/ventchar/550_lux_vent.png?1658127164; https://v-conn.ru/export/draw/550_lux.png?1658127164; ";Приточная установка Breezart 550 Lux;242 200;+;1;RUB;Breezart;"Тип нагревателя: электрический с изменяемой мощностью; Код нагревателя: 1,8 кВт-220В | 3,6 кВт-220В | 5,4 кВт-220В | 5,4 кВт-380В; Максимальная потребляемая мощность: 1,8 кВт-220В | 3,6 кВт-220В | 5,4 кВт-220В | 5,4 кВт-380В; Максимальный потребляемый ток: 8,6 | 16,8 | 25,0 | 8,6 А; Напряжение питания: 220 В / 380 В; Уровень шума LwA на всасывании | на выпуске | от корпуса: 57 дБА | 65 дБА | 50 дБА; Уровень звукового давления LpA от корпуса: 35 дБА; Масса: 25 кг; Код воздушного фильтра: ФВГ-410-170-48-G4; ";"


Универсальная модель для квартир, небольших офисов и коттеджей (промо-сайт):  Встроенная цифровая автоматика и сенсорный пульт управления. Настраиваемая мощность нагревателя от 1,8 до 5,4 кВт (позволяет ограничить пиковую нагрузку на электросеть). Автонастройка напряжения питания 220 или 380 В. Настраиваемая производительность 350 или 550 м³/ч. Все настройки выполняются с пульта управления.   Приточная установка комплектуется керамическим нагревателем с низкой температурой поверхности, воздушным клапаном с электроприводом, системой цифровой автоматики JetLogic с цветным сенсорным пультом управления и датчиками, а также кронштейнами с вибровставками для размещения вентустановки на потолке или стене. Эти кронштейны могут переставляться на другую сторону корпуса, меняя расположение люка обслуживания: слева или справа. На входе вентустановки можно установить два фильтра: после стандартного фильтра грубой очистки G4 есть дополнительные салазки для установки компактного фильтра тонкой очистки F7 или угольного (Carb). Вместо дополнительного компактного фильтра можно установить на выходе вентустановки дополнительный фильтр с высокой пылеемкостью в отдельном корпусе Filter-Case-500 (угольный + тонкой очистки F7).   Breezart 550 Lux SB Модификация 550 Lux SB с нижним расположением люка предназначена для подпотолочного размещения. Подробная информация в Каталоге.   Бюджетные модели 350 / 550 / 600 Lite Недорогие модели на 350 и 550 м³/ч с 3-х скоростными AC вентиляторами имеют ограниченные возможности. Они не комплектуются воздушным клапаном с приводом (автоматика имеет выход на управление внешним клапаном и вход для подключения внешнего датчика загрязнения фильтра). Подробнее: Инструкция и Каталог 350 / 550 / 600 Lite. Цены указаны в прайс-листе.

 
  <ul>
<li>Программное изменение максимальной производительности и мощности калорифера, автоопредление 220В / 380В. </li>
<li>Плавная регулировка мощности калорифера для нагрева воздуха  до заданной температуры, защита от перегрева.</li>
<li>Регулировка скорости вентилятора, 10 ступеней.</li>
<li>Возможность управления увлажнителем воздуха с пульта вентустановки.</li>
<li>Контроль загрязненности воздушного фильтра (цифровой датчик давления).</li>
<li>Восемь недельных сценариев, функции «Комфорт» и «Рестарт».</li>
<li>Часы реального времени (не сбрасываются при сбое питания).</li>
<li>Возможность создания VAV-системы (требуется модуль JL208DP).</li>
<li>Подключение к системе «умный дом» по ModBus RTU или ModBus TCP.</li>
<li>Удаленное управление с компьютера или смартфона / планшета.</li>
</ul> 
 ";[Главная >> Вентиляция >> Вентиляционные установки >> Приточные установки >> Breezart];1722768;"Тип: Приточная установка   ; <br><tbody><tr><th><p><span>Производительность:</span></p></th><td>550 м³/ч</td></tr> <tr><th><p><span>Мощность нагревателя:</span></p></th><td>1,8 кВт-220В | 3,6 кВт-220В | 5,4 кВт-220В | 5,4 кВт-380В</td></tr>                      </tbody>"
"http://www.breezart.ru/export/photo/550_aqua.png?1658127173; http://www.breezart.ru/export/photo/breezart_jlv135.png?1658127173; https://v-conn.ru/export/struct/aqua_ac.png?1658127173; https://v-conn.ru/export/ventchar/600_aqua_ac_vent.png?1658127173; https://v-conn.ru/export/draw/600_aqua_ac.png?1658127173; ";Приточная установка Breezart 600 Aqua AC;300 700 ;+;1;RUB;Breezart;"Тип нагревателя: водяной; Код нагревателя: W31 со смесит. узлом S3-20-4-1,6 | S2-20-4-0,63; Максимальная потребляемая мощность: 0,3 кВт-220В; Максимальный потребляемый ток: 1,3 А; Напряжение питания: 220 В; Уровень шума LwA на всасывании | на выпуске | от корпуса: 57 дБА | 65 дБА | 50 дБА; Уровень звукового давления LpA от корпуса: 35 дБА; Масса: 40 кг; Код воздушного фильтра: ФВГ-410-170-48-G4; ";"


Приточная установка с водяным нагревателем и смесительным узлом с 2-х или 3-х ходовым клапаном (узел подбирается исходя из типа водоснабжения), комплектуется воздушным клапаном с электроприводом (с возвратной пружиной) и системой цифровой автоматики JetLogic с цветным сенсорным пультом управления и всеми необходимыми датчиками.

 
  <ul>
<li>Управление клапаном смесительного узла калорифера для нагрева воздуха  до заданной температуры, защита от замораживания.</li>
<li>Регулировка скорости вентилятора, 10 ступеней.</li>
<li>Возможность управления увлажнителем воздуха с пульта вентустановки.</li>
<li>Контроль загрязненности воздушного фильтра (цифровой датчик давления).</li>
<li>Восемь недельных сценариев, функции «Комфорт» и «Рестарт».</li>
<li>Часы реального времени (не сбрасываются при сбое питания).</li>
<li>Возможность создания VAV-системы (требуется модуль JL208DP).</li>
<li>Подключение к системе «умный дом» по ModBus RTU или ModBus TCP.</li>
<li>Удаленное управление с компьютера или смартфона / планшета.</li>
</ul> 
 ";[Главная >> Вентиляция >> Вентиляционные установки >> Приточные установки >> Breezart];1722711;"Тип: Приточная установка   ; <br><tbody><tr><th><p><span>Производительность:</span></p></th><td>600 м³/ч</td></tr>                       </tbody>"
"http://www.breezart.ru/export/photo/600_lux_sb.png?1658127165; http://www.breezart.ru/export/photo/breezart_jlv135.png?1658127165; https://v-conn.ru/export/struct/lux_ac.png?1658127165; https://v-conn.ru/export/ventchar/600_lux_ac_vent.png?1658127165; https://v-conn.ru/export/draw/600_lux_ac.png?1658127165; ";Приточная установка Breezart 600 Lux AC;193 500 ;+;1;RUB;Breezart;"Тип нагревателя: электрический с изменяемой мощностью; Код нагревателя: 1,8 кВт-220В | 3,6 кВт-220В | 5,4 кВт-220В | 5,4 кВт-380В; Максимальная потребляемая мощность: 1,8 кВт-220В | 3,6 кВт-220В | 5,4 кВт-220В | 5,4 кВт-380В; Максимальный потребляемый ток: 9,3 | 17,4 | 25,6 | 9,3 А; Напряжение питания: 220 В / 380 В; Уровень шума LwA на всасывании | на выпуске | от корпуса: 57 дБА | 65 дБА | 50 дБА; Уровень звукового давления LpA от корпуса: 34 дБА; Масса: 30 кг; Код воздушного фильтра: ФВГ-410-170-48-G4; ";"


Универсальная модель для коттеджей, офисов и квартир:  Встроенная цифровая автоматика и сенсорный пульт управления. Настраиваемая мощность нагревателя от 1,8 до 5,4 кВт (позволяет ограничить пиковую нагрузку на электросеть). Автонастройка напряжения питания 220 или 380 В. Все настройки выполняются с пульта управления.  Приточная установка комплектуется керамическим нагревателем с низкой температурой поверхности, воздушным клапаном с электроприводом, системой цифровой автоматики JetLogic с цветным сенсорным пультом управления и датчиками, а также кронштейнами с вибровставками для размещения вентустановки на потолке или стене. На входе вентустановки можно установить два фильтра: после стандартного фильтра грубой очистки G4 есть дополнительные салазки для установки компактного фильтра тонкой очистки F7 или угольного (Carb). Вместо дополнительного компактного фильтра можно установить на выходе вентустановки дополнительный фильтр с высокой пылеемкостью в отдельном корпусе Filter-Case-500 (угольный + тонкой очистки F7).

 
  <ul>
<li>Программное изменение мощности калорифера, автоопредление 220В / 380В. </li>
<li>Плавная регулировка мощности калорифера для нагрева воздуха  до заданной температуры, защита от перегрева.</li>
<li>Регулировка скорости вентилятора, 10 ступеней.</li>
<li>Возможность управления увлажнителем воздуха с пульта вентустановки.</li>
<li>Контроль загрязненности воздушного фильтра (цифровой датчик давления).</li>
<li>Восемь недельных сценариев, функции «Комфорт» и «Рестарт».</li>
<li>Часы реального времени (не сбрасываются при сбое питания).</li>
<li>Возможность создания VAV-системы (требуется модуль JL208DP).</li>
<li>Подключение к системе «умный дом» по ModBus RTU или ModBus TCP.</li>
<li>Удаленное управление с компьютера или смартфона / планшета.</li>
</ul> 
 ";[Главная >> Вентиляция >> Вентиляционные установки >> Приточные установки >> Breezart];1722766;"Тип: Приточная установка   ; <br><tbody><tr><th><p><span>Производительность:</span></p></th><td>600 м³/ч</td></tr> <tr><th><p><span>Мощность нагревателя:</span></p></th><td>1,8 кВт-220В | 3,6 кВт-220В | 5,4 кВт-220В | 5,4 кВт-380В</td></tr>                      </tbody>"
"http://www.breezart.ru/export/photo/600_lux_sb.png?1658127165; http://www.breezart.ru/export/photo/breezart_jlv135.png?1658127165; https://v-conn.ru/export/struct/1000_lux.png?1658127165; https://v-conn.ru/export/ventchar/600_lux_sb_vent.png?1658127165; https://v-conn.ru/export/draw/600_lux.png?1658127165; ";Приточная установка Breezart 600 Lux SB;238 900 ;+;1;RUB;Breezart;"Тип нагревателя: электрический с изменяемой мощностью; Код нагревателя: 1,8 кВт-220В | 3,6 кВт-220В | 5,4 кВт-220В | 5,4 кВт-380В; Максимальная потребляемая мощность: 1,8 кВт-220В | 3,6 кВт-220В | 5,4 кВт-220В | 5,4 кВт-380В; Максимальный потребляемый ток: 9,3 | 17,4 | 25,6 | 9,3 А; Напряжение питания: 220 В / 380 В; Уровень шума LwA на всасывании | на выпуске | от корпуса: 54 дБА | 63 дБА | 48 дБА; Уровень звукового давления LpA от корпуса: 34 дБА; Масса: 30 кг; Код воздушного фильтра: ФВГ-410-170-48-G4; ";"


Универсальная модель для коттеджей, офисов и квартир:  Встроенная цифровая автоматика и сенсорный пульт управления. Настраиваемая мощность нагревателя от 1,8 до 5,4 кВт (позволяет ограничить пиковую нагрузку на электросеть). Автонастройка напряжения питания 220 или 380 В. Все настройки выполняются с пульта управления.  Приточная установка комплектуется керамическим нагревателем с низкой температурой поверхности, воздушным клапаном с электроприводом, системой цифровой автоматики JetLogic с цветным сенсорным пультом управления и датчиками, а также кронштейнами с вибровставками для размещения вентустановки на потолке или стене. На входе вентустановки можно установить два фильтра: после стандартного фильтра грубой очистки G4 есть дополнительные салазки для установки компактного фильтра тонкой очистки F7 или угольного (Carb). Вместо дополнительного компактного фильтра можно установить на выходе вентустановки дополнительный фильтр с высокой пылеемкостью в отдельном корпусе Filter-Case-500 (угольный + тонкой очистки F7).

 
  <ul>
<li>Программное изменение мощности калорифера, автоопредление 220В / 380В. </li>
<li>Плавная регулировка мощности калорифера для нагрева воздуха  до заданной температуры, защита от перегрева.</li>
<li>Регулировка скорости вентилятора, 10 ступеней.</li>
<li>Возможность управления увлажнителем воздуха с пульта вентустановки.</li>
<li>Контроль загрязненности воздушного фильтра (цифровой датчик давления).</li>
<li>Восемь недельных сценариев, функции «Комфорт» и «Рестарт».</li>
<li>Часы реального времени (не сбрасываются при сбое питания).</li>
<li>Возможность создания VAV-системы (требуется модуль JL208DP).</li>
<li>Подключение к системе «умный дом» по ModBus RTU или ModBus TCP.</li>
<li>Удаленное управление с компьютера или смартфона / планшета.</li>
</ul> 
 ";[Главная >> Вентиляция >> Вентиляционные установки >> Приточные установки >> Breezart];1722996;"Тип: Приточная установка   ; <br><tbody><tr><th><p><span>Производительность:</span></p></th><td>600 м³/ч</td></tr> <tr><th><p><span>Мощность нагревателя:</span></p></th><td>1,8 кВт-220В | 3,6 кВт-220В | 5,4 кВт-220В | 5,4 кВт-380В</td></tr>                      </tbody>"
"http://www.breezart.ru/export/photo/1000_aqua.png?1658127173; http://www.breezart.ru/export/photo/breezart_jlv135.png?1658127173; https://v-conn.ru/export/struct/aqua.png?1658127173; https://v-conn.ru/export/ventchar/1000_aqua_vent.png?1658127173; https://v-conn.ru/export/draw/1000_aqua.png?1658127173; ";Приточная установка Breezart 1000 Aqua;378 100 ;+;1;RUB;Breezart;"Тип нагревателя: водяной; Код нагревателя: W42 со смесит. узлом S3-25-4-2,5 | S2-25-4-0,63; Максимальная потребляемая мощность: 0,3 кВт-220В; Максимальный потребляемый ток: 1,4 А; Напряжение питания: 220 В; Уровень шума LwA на всасывании | на выпуске | от корпуса: 62 дБА | 68 дБА | 54 дБА; Уровень звукового давления LpA от корпуса: 39 дБА; Масса: 45 кг; Код воздушного фильтра: ФВГ-490-250-48-G4; ";"


Приточная установка с водяным нагревателем и смесительным узлом с 2-х или 3-х ходовым клапаном (узел подбирается исходя из типа водоснабжения), комплектуется воздушным клапаном с электроприводом (с возвратной пружиной) и системой цифровой автоматики JetLogic с цветным сенсорным пультом управления и всеми необходимыми датчиками.

 
  <ul>
<li>Управление клапаном смесительного узла калорифера для нагрева воздуха  до заданной температуры, защита от замораживания.</li>
<li>Регулировка скорости вентилятора, 10 ступеней.</li>
<li>Возможность управления увлажнителем воздуха с пульта вентустановки.</li>
<li>Контроль загрязненности воздушного фильтра (цифровой датчик давления).</li>
<li>Восемь недельных сценариев, функции «Комфорт» и «Рестарт».</li>
<li>Часы реального времени (не сбрасываются при сбое питания).</li>
<li>Возможность создания VAV-системы (требуется модуль JL208DP).</li>
<li>Подключение к системе «умный дом» по ModBus RTU или ModBus TCP.</li>
<li>Удаленное управление с компьютера или смартфона / планшета.</li>
</ul> 
 ";[Главная >> Вентиляция >> Вентиляционные установки >> Приточные установки >> Breezart];17221;"Тип: Приточная установка   ; <br><tbody><tr><th><p><span>Производительность:</span></p></th><td>1000 м³/ч</td></tr>                       </tbody>"
"http://www.breezart.ru/export/photo/1000_aqua_f.png?1658127175; http://www.breezart.ru/export/photo/breezart_jlv135.png?1658127175; https://v-conn.ru/export/struct/1000_aqua_f.png?1658127175; https://v-conn.ru/export/ventchar/1000_aqua_f_vent.png?1658127175; https://v-conn.ru/export/draw/1000_aqua_f.png?1658127175; ";Приточная установка с фреоновым охладителем Breezart 1000 Aqua F;473 000 ;+;1;RUB;Breezart;"Тип нагревателя: водяной; Код нагревателя: W42 со смесит. узлом S3-25-4-2,5 | S2-25-4-0,63; Тип охладителя: фреоновый; Код охладителя: F42; Максимальная потребляемая мощность: 0,3 кВт-220В; Максимальный потребляемый ток: 1,4 А; Напряжение питания: 220 В; Уровень шума LwA на всасывании | на выпуске | от корпуса: 61 дБА | 66 дБА | 52 дБА; Уровень звукового давления LpA от корпуса: 37 дБА; Масса: 60 кг; Код воздушного фильтра: ФВГ-490-250-48-G4; ";"


Приточная установка с фреоновым охладителем, водяным нагревателем и смесительным узлом с 2-х или 3-х ходовым клапаном (узел подбирается исходя из типа водоснабжения), комплектуется воздушным клапаном с электроприводом (с возвратной пружиной), системой цифровой автоматики JetLogic с цветным сенсорным пультом управления и всеми необходимыми датчиками. Автоматика может управлять различными типами ККБ.

 
  <ul>
<li>Управление клапаном смесительного узла калорифера для нагрева воздуха  до заданной температуры, защита от замораживания.</li>
<li>Регулировка скорости вентилятора, 10 ступеней.</li>
<li>Возможность управления увлажнителем воздуха с пульта вентустановки.</li>
<li>Управление ККБ различного типа, в том числе сигналом 0-10В.</li>
<li>Контроль загрязненности воздушного фильтра (цифровой датчик давления).</li>
<li>Восемь недельных сценариев, часы реального времени.</li>
<li>Возможность создания VAV-системы (требуется модуль JL208DP).</li>
<li>Подключение к системе «умный дом» по ModBus RTU или ModBus TCP.</li>
<li>Удаленное управление с компьютера или смартфона / планшета.</li>
</ul> 
 ";[Главная >> Вентиляция >> Вентиляционные установки >> Приточные установки >> Breezart];172219;"Тип: Приточная установка   ; <br><tbody><tr><th><p><span>Производительность:</span></p></th><td>1000 м³/ч</td></tr>                       </tbody>"
"http://www.breezart.ru/export/photo/1000_aqua_w.png?1658127177; http://www.breezart.ru/export/photo/breezart_jlv135.png?1658127177; https://v-conn.ru/export/struct/1000_aqua_w.png?1658127177; https://v-conn.ru/export/ventchar/1000_aqua_w_vent.png?1658127177; https://v-conn.ru/export/draw/1000_aqua_w.png?1658127177; ";Приточная установка с водяным охладителем Breezart 1000 Aqua W;473 000 ;+;1;RUB;Breezart;"Тип нагревателя: водяной; Код нагревателя: W42 со смесит. узлом S3-25-4-2,5 | S2-25-4-0,63; Тип охладителя: водяной; Код охладителя: C42; Максимальная потребляемая мощность: 0,3 кВт-220В; Максимальный потребляемый ток: 1,4 А; Напряжение питания: 220 В; Уровень шума LwA на всасывании | на выпуске | от корпуса: 61 дБА | 66 дБА | 52 дБА; Уровень звукового давления LpA от корпуса: 37 дБА; Масса: 59 кг; Код воздушного фильтра: ФВГ-490-250-48-G4; ";"


Приточная установка с водным охладителем, водяным нагревателем и смесительным узлом с 2-х или 3-х ходовым клапаном (узел подбирается исходя из типа водоснабжения), комплектуется воздушным клапаном с электроприводом (с возвратной пружиной), системой цифровой автоматики JetLogic с цветным сенсорным пультом управления и всеми необходимыми датчиками.

 
  <ul>
<li>Управление клапаном смесительного узла калорифера для нагрева воздуха  до заданной температуры, защита от замораживания.</li>
<li>Регулировка скорости вентилятора, 10 ступеней.</li>
<li>Возможность управления увлажнителем воздуха с пульта вентустановки.</li>
<li>Контроль загрязненности воздушного фильтра (цифровой датчик давления).</li>
<li>Восемь недельных сценариев, функции «Комфорт» и «Рестарт».</li>
<li>Часы реального времени (не сбрасываются при сбое питания).</li>
<li>Возможность создания VAV-системы (требуется модуль JL208DP).</li>
<li>Подключение к системе «умный дом» по ModBus RTU или ModBus TCP.</li>
<li>Удаленное управление с компьютера или смартфона / планшета.</li>
</ul> 
 ";[Главная >> Вентиляция >> Вентиляционные установки >> Приточные установки >> Breezart];172264;"Тип: Приточная установка   ; <br><tbody><tr><th><p><span>Производительность:</span></p></th><td>1000 м³/ч</td></tr>                       </tbody>"
"http://www.breezart.ru/export/photo/1000_lux_f.png?1658127166; http://www.breezart.ru/export/photo/breezart_jlv135.png?1658127166; https://v-conn.ru/export/struct/1000_lux_f.png?1658127166; https://v-conn.ru/export/ventchar/1000_lux_f_ptc_vent.png?1658127166; https://v-conn.ru/export/draw/1000_lux_f_ptc.png?1658127166; ";Приточная установка с фреоновым охладителем Breezart 1000 Lux F PTC;314 700;+;1;RUB;Breezart;"Тип нагревателя: электрический; Код нагревателя: 10 кВт-380В | 13,8 кВт-380В | 18,8 кВт-380В; Тип охладителя: фреоновый; Код охладителя: F42; Максимальная потребляемая мощность: 10,2 кВт-380В | 14 кВт-380В | 19 кВт-380В; Максимальный потребляемый ток: 16,2 А | 21,9 А | 29,5 А; Напряжение питания: 380 В; Уровень шума LwA на всасывании | на выпуске | от корпуса: 62 дБА | 67 дБА | 54 дБА; Уровень звукового давления LpA от корпуса: 39 дБА; Масса: 65 кг; Код воздушного фильтра: ФВГ-490-250-48-G4; ";"


Приточная установка комплектуется керамическим электрическим нагревателем с низкой температурой поверхности (при заказе возможен выбор различных мощностей нагревателя), френовым охладителем (требуется ККБ), воздушным клапаном с электроприводом, системой цифровой автоматики JetLogic с цветным сенсорным пультом управления и всеми необходимыми датчиками. Автоматика может управлять различными типами ККБ.

 
  <ul>
<li>Плавная регулировка мощности калорифера для нагрева воздуха  до заданной температуры, защита от перегрева.</li>
<li>Регулировка скорости вентилятора, 10 ступеней.</li>
<li>Возможность управления увлажнителем воздуха с пульта вентустановки.</li>
<li>Управление ККБ различного типа, в том числе сигналом 0-10В.</li>
<li>Контроль загрязненности воздушного фильтра (цифровой датчик давления).</li>
<li>Восемь недельных сценариев, часы реального времени.</li>
<li>Возможность создания VAV-системы (требуется модуль JL208DP).</li>
<li>Подключение к системе «умный дом» по ModBus RTU или ModBus TCP.</li>
<li>Удаленное управление с компьютера или смартфона / планшета.</li>
</ul> 
 ";[Главная >> Вентиляция >> Вентиляционные установки >> Приточные установки >> Breezart];1722966;"Тип: Приточная установка   ; <br><tbody><tr><th><p><span>Производительность:</span></p></th><td>1000 м³/ч</td></tr> <tr><th><p><span>Мощность нагревателя:</span></p></th><td>10 кВт-380В | 13,8 кВт-380В | 18,8 кВт-380В</td></tr>                      </tbody>"
